Name,Address,LinkedIn,Website,Email,Lawyers,Lawfields
D.O.C. Rechtsanwälte/ Fachanwälte,"Kaiser-Wilhelm-Str. 89, 20355 Hamburg",No LinkedIn link,https://doc-rechtsanwaelte.de/,info@doc-rechtsanwaelte.de,Eylem Çağlar; Șeyma Soydemir; Jutta Wenzel; Dr. Oktay Caglar,Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Verkehrsrecht • Strafrecht
Anwaltskanzlei Streit Götz Chromik,"Myliusstraße 14, 71638 Ludwigsburg",No LinkedIn link,https://www.sgc-anwaelte.de/,mail@sgc-anwaelte.de,Matthias Chromik; Alexander Götz; Dominik Streit,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Mietrecht & Wohnungseigentumsrecht • Verkehrsrecht • Zivilrecht • Ordnungswidrigkeitenrecht • Schadensersatzrecht & Schmerzensgeldrecht •  • Kaufrecht • Schwerbehindertenrecht • Allgemeines Vertragsrecht
Rechtsanwälte am Westenhellweg,"Westenhellweg 43, 44137 Dortmund",No LinkedIn link,http://www.rae-westenhellweg.de/,info@rae-westenhellweg.de,Nicola Skoberne; André Möller; Michael Kohrs; Andre Hohlweg,Fachanwaltschaft Strafrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Pflegerecht • Opferhilfe • Reiserecht •  • Verkehrsrecht • Schwerbehindertenrecht • eBay & Recht • Schadensersatzrecht & Schmerzensgeldrecht • Zivilrecht • Allgemeines Vertragsrecht • Ordnungswidrigkeitenrecht • Arzthaftungsrecht
Kanzlei Lesch,"Johannisplatz 21, 04103 Leipzig",No LinkedIn link,http://www.kanzlei-lesch.de/,info@kanzlei-lesch.de,Carina Arneth; Bettina Lesch-Lasaridis; Peter Lesch,Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Erbrecht • Fachanwaltschaft Baurecht & Architektenrecht • Mediation • Verkehrsrecht • Arzthaftungsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Allgemeines Vertragsrecht • Bankrecht & Kapitalmarktrecht • Zwangsvollstreckungsrecht • Gewerblicher Rechtsschutz • Grundstücksrecht & Immobilienrecht
Schweitzer & Schweitzer Rechtsanwälte,"F1 10, 68159 Mannheim",No LinkedIn link,http://www.rae-schweitzer.de/,roman@rae-schweitzer.de,Stefanie Schweitzer; Roman Schweitzer; Bernd Schweitzer,Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Strafrecht • Ordnungswidrigkeitenrecht • Opferhilfe • Zivilrecht • Betreuungsrecht • Allgemeines Vertragsrecht • Erbrecht • Verkehrsrecht
"Rechtsanwälte Frank Mohr, Joachim Mohr, Sven Köppe in Bürogemeinschaft","Greizer Str. 1, 35396 Gießen",No LinkedIn link,http://www.kanzlei-mohr.info/,fmohr@kanzlei-mohr.de,Joachim Mohr; Sven Köppe; Frank Mohr,Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Verkehrsrecht • Arbeitsrecht • Mietrecht & Wohnungseigentumsrecht • Versicherungsrecht • Werkvertragsrecht • Forderungseinzug & Inkassorecht • Schadensersatzrecht & Schmerzensgeldrecht • Allgemeines Vertragsrecht • Sportrecht
Krebs & Partner PartG,"Markt 32, 52525 Heinsberg",No LinkedIn link,https://www.krebs-anwalt.de/,info@krebs-anwalt.de,Heike Ibenthal; Björn Schröders; Peter Krebs,• Fachanwaltschaft Verkehrsrecht • Mietrecht & Wohnungseigentumsrecht • Versicherungsrecht • Medizinrecht • Reiserecht • Werkvertragsrecht • Allgemeines Vertragsrecht • Arbeitsrecht • Erbrecht • Verwaltungsrecht • Vereinsrecht & Verbandsrecht • Urheberrecht & Medienrecht
Rechtsanwälte Weiss & Grunert Partnerschaftsgesellschaft,"Dreifaltigkeitsplatz 176, 84028 Landshut",No LinkedIn link,http://www.weiss-grunert.de/,info@weiss-grunert.de,Benedikt von Kuepach; Kilian Zieglmaier; Tobias Weiss; Torstein Grunert,• Fachanwaltschaft Baurecht & Architektenrecht • Fachanwaltschaft Verkehrsrecht • Erbrecht • Zivilrecht • Handelsrecht & Gesellschaftsrecht • Arbeitsrecht • Bankrecht & Kapitalmarktrecht • Mietrecht & Wohnungseigentumsrecht • Strafrecht
"KSG Kanzlei Schwede, Gewert & Kollegen","Theaterstr. 3, 30159 Hannover",https://www.linkedin.com/company/kanzlei-schwede-gewert-&-kollegen/,http://www.ksg-recht.de/,info@ksg-recht.de,Anna Lena Dinkler; Joachim Dorner; Jörg Schwede; Dipl.Verw.wirt (FH) Ulrich Gewert; Ninja Lorenz LL.M.,Fachanwaltschaft Sozialrecht • Fachanwaltschaft Handelsrecht & Gesellschaftsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Gewerblicher Rechtsschutz • Verkehrsrecht • Zivilrecht •  • Sozialversicherungsrecht • Grundstücksrecht & Immobilienrecht • Schwerbehindertenrecht • Pflegerecht • Opferhilfe • Unterhaltsrecht • Arbeitsrecht • Öffentliches Baurecht • Baurecht & Architektenrecht • Erbrecht • Reiserecht • Kaufrecht • Unternehmensrecht & Betriebsnachfolge • Allgemeines Vertragsrecht • Beamtenrecht • Werkvertragsrecht • Verwaltungsrecht
Bartholme · Schilling · Kaiser & Partner - Rechtsanwälte · Fachanwälte,"Karlstr. 36, 78054 Villingen-Schwenningen",No LinkedIn link,https://www.anwaelte-vs.de/,km@anwaelte-vs.de,Dr. Klaus Schilling; Dr. Stefan Bartholme; Matthias Kaiser; Tobias Bartholme,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Verwaltungsrecht • Baurecht & Architektenrecht • Grundstücksrecht & Immobilienrecht • Zivilrecht • Schadensersatzrecht & Schmerzensgeldrecht • Erbrecht •  • Umweltrecht • Öffentliches Baurecht
Rechtsanwaltskanzlei Engelmann Eismann Ast,"Archivstr. 3, 90408 Nürnberg",No LinkedIn link,http://www.eea-rechtsanwalt-nuernberg.de/,info@eea-rechtsanwalt-nuernberg.de,Alexandra Lades; Lisa Kilian; Leonie Gruber; Manuel Ast; Martin Eismann; Martina Hunneshagen; Nadine Kohler; Peter Engelmann,Fachanwaltschaft Insolvenzrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Handelsrecht & Gesellschaftsrecht • Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Arbeitsrecht •  • Allgemeines Vertragsrecht • Mediation • Zivilrecht • Sportrecht • Grundstücksrecht & Immobilienrecht • Maklerrecht • Mietrecht & Wohnungseigentumsrecht • Verkehrsrecht
Delgmann + Partner Rechtsanwälte – Fachanwälte,"Kennedyplatz 8, 45127 Essen",No LinkedIn link,http://www.delgmann.de/,mail@delgmann.de,Sinan Akcakaya; Ralf Delgmann; Hanns Peter Faber; Susanne Rüsken; Frank Gentile,Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Strafrecht • Fachanwaltschaft Steuerrecht • Beamtenrecht • Verkehrsrecht • Erbrecht • Ausländerrecht & Asylrecht • IT-Recht • Mietrecht & Wohnungseigentumsrecht • Zivilrecht • Wirtschaftsrecht • Grundstücksrecht & Immobilienrecht • Schulrecht • Allgemeines Vertragsrecht
"Rechtsanwälte und Notar Dr. Wichmann, Suthaus, Rohde, Paulini & Teupke","Theaterstr. 5, 37073 Göttingen",No LinkedIn link,https://wichmann-suthaus.de/,carsten@paulini-rechtsanwaelte.de,Frank Suthaus; Dr. Hermann Wichmann; Carsten Paulini; Christian-Karsten Rohde; Jenny Teupke,Fachanwaltschaft Arbeitsrecht •  • Allgemeines Vertragsrecht • Kaufrecht • Handelsrecht & Gesellschaftsrecht • Unterhaltsrecht • Grundstücksrecht & Immobilienrecht • Erbrecht
LWB Rechtsanwaltskanzlei,"Theaterstraße 65, 52062 Aachen",No LinkedIn link,https://www.lwb-kanzlei.de/,info@lwb-kanzlei.de,Ravil Linke; Marija Beeretz LL.M.; Kevin Wydra; Stefan Linke,• Fachanwaltschaft Baurecht & Architektenrecht • Strafrecht • Arbeitsrecht • Ordnungswidrigkeitenrecht • Medizinrecht • Sozialrecht • Betreuungsrecht • Zivilrecht • Erbrecht • Allgemeines Vertragsrecht • Mietrecht & Wohnungseigentumsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Kaufrecht • Verkehrsrecht
Kanzlei Schaal - Söder Rechtsanwälte Fachanwälte Mediatoren,"Hochstr. 6, 87527 Sonthofen",No LinkedIn link,http://www.kanzlei-schaal-soeder.de/,info@kanzlei-schaal-soeder.de,Martin Schaal; Michael Söder; Carolin Söder,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Verkehrsrecht • Mietrecht & Wohnungseigentumsrecht • Ordnungswidrigkeitenrecht • Forderungseinzug & Inkassorecht • Mediation • Zivilrecht • Arzthaftungsrecht • Öffentliches Baurecht • Wirtschaftsrecht
Blatt & Kollegen Rechtsanwälte,"Hauptbahnhofstr. 2, 97424 Schweinfurt",No LinkedIn link,http://www.kanzlei-blatt.de/,rechtsanwaelte@kanzlei-blatt.de,Hubertus J. Krause; Johannes Will-Fuchs; Jutta Leitherer; Thomas Wildanger; Gabriele Jakob; Lara Siegmann,Fachanwaltschaft Strafrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht •  • Fachanwaltschaft Bankrecht & Kapitalmarktrecht • Arbeitsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Urheberrecht & Medienrecht • Reiserecht • Kaufrecht • Recht rund ums Tier • Zivilrecht • Handelsrecht & Gesellschaftsrecht • Wirtschaftsrecht • Allgemeines Vertragsrecht • Verkehrsrecht • Pferderecht • Erbrecht • Ordnungswidrigkeitenrecht • Wettbewerbsrecht • Insolvenzrecht & Sanierungsrecht • Grundstücksrecht & Immobilienrecht • Versicherungsrecht • Baurecht & Architektenrecht
Kanzlei Peters und Dr. Momberg,"Luisenstr. 23b, 37269 Eschwege",No LinkedIn link,http://www.kanzlei-momberg.de/,schomerus@kanzlei-momberg.de,Dr. Rolf Momberg; Sabine Schomerus; Eike Christian Peters,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Versicherungsrecht • Unternehmensrecht & Betriebsnachfolge • Schadensersatzrecht & Schmerzensgeldrecht • Handelsrecht & Gesellschaftsrecht • Zivilrecht • Arzthaftungsrecht • Erbrecht • Grundstücksrecht & Immobilienrecht • Steuerrecht • Sozialrecht • Verkehrsrecht • Mietrecht & Wohnungseigentumsrecht •
Rechtsanwälte BAYH & FINGERLE,"Königstr. 22, 70173 Stuttgart",No LinkedIn link,http://www.bayh-fingerle.de/,info@bayh-fingerle.de,Volkan Alp; Ute Bohn; Frank Wiesbrock; Marbod Hans; Peter Bayh; Tizia Bayh; Andreas Pitsch; Uwe Hoffmann; Mona Schlolaut,Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Sozialrecht •  • Erbrecht • Verkehrsrecht • Ordnungswidrigkeitenrecht • Internationales Recht • Maklerrecht • Kaufrecht • Forderungseinzug & Inkassorecht • Transportrecht & Speditionsrecht • Handelsrecht & Gesellschaftsrecht • Wirtschaftsrecht • Zivilprozessrecht • Allgemeines Vertragsrecht • Internationales Wirtschaftsrecht • Zivilrecht
"Sperrer, Bette & Collegen","Kaflerstr. 4, 81241 München",No LinkedIn link,https://www.rae-bette.de/,info@rae-bette.de,Dr. Catharina Landwehr; Marc Sperrer LL.M.; Franz X. Bette; Isolde Borsos,Fachanwaltschaft Versicherungsrecht • Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Erbrecht •  • Verkehrsrecht • Arzthaftungsrecht • Zivilrecht • Schadensersatzrecht & Schmerzensgeldrecht • Bankrecht & Kapitalmarktrecht • Handelsrecht & Gesellschaftsrecht • Mediation • Urheberrecht & Medienrecht
Benholz Mackner Faust,"Wittbräucker Str. 42, 44287 Dortmund",No LinkedIn link,http://www.bmf-recht.de/,info@bmf-recht.de,Thomas Benholz; Jens Mackner; Roland Faust,• Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Baurecht & Architektenrecht • Verkehrsrecht • Erbrecht • Ordnungswidrigkeitenrecht • Forderungseinzug & Inkassorecht • Grundstücksrecht & Immobilienrecht • Allgemeines Vertragsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Zivilrecht
Kanzlei Fahr | Groß | Indetzki,"Weingartenstr. 19a, 77654 Offenburg",No LinkedIn link,https://www.ra-og.de/,info@ra-og.de,Norbert Fischer; Amelie von Schoenaich LL.M. Eur.; Joachim Indetzki; Markus Groß; Dominic Schillinger; Karen Baas; Alexander Kofler; Benjamin Schütz LL.M.,Fachanwaltschaft Versicherungsrecht •  • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Erbrecht • Fachanwaltschaft Urheberrecht & Medienrecht • Schadensersatzrecht & Schmerzensgeldrecht • Kaufrecht • Werkvertragsrecht • Internationales Recht • Allgemeines Vertragsrecht • Arzthaftungsrecht • Unternehmensrecht & Betriebsnachfolge • Grundstücksrecht & Immobilienrecht • Strafrecht • Zivilrecht • Wettbewerbsrecht • IT-Recht • Gewerblicher Rechtsschutz
Kanzlei am Holm,"Rathausstraße 11 -13, 24937 Flensburg",No LinkedIn link,http://www.holm66.de/,kanzlei@holm66.de,Christian Meyer; Jan J. Gärtner; Patrick Schlicker; Björn Thies,Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Fachanwaltschaft Medizinrecht • Pflegerecht • Allgemeines Vertragsrecht • Erbrecht •  • Schadensersatzrecht & Schmerzensgeldrecht
Dollinger Partnerschaft mbB,"Rotbuchenstr. 1, 81547 München",No LinkedIn link,http://www.kanzlei-dollinger.de/,info@kanzlei-dollinger.de,Christian Kleindienst; Dörte Schiedermaier; Christoph Kleinherne,• Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Medizinrecht • Arzthaftungsrecht • Zivilrecht
Anwaltssozietät Tigges & Sevis,"Heiliger Weg 3-5, 44135 Dortmund",No LinkedIn link,http://www.anwaltskanzleidortmund.de/,info@anwaltskanzleidortmund.de,Jörg Tigges; Serpil Sevis; Gesche Creon-Tigges,Fachanwaltschaft Baurecht & Architektenrecht • Fachanwaltschaft Strafrecht • Fachanwaltschaft Migrationsrecht • Fachanwaltschaft Arbeitsrecht •  • Verkehrsrecht • Ausländerrecht & Asylrecht • Zivilrecht • Erbrecht • Forderungseinzug & Inkassorecht • Kaufrecht • Mietrecht & Wohnungseigentumsrecht • Grundstücksrecht & Immobilienrecht • Ordnungswidrigkeitenrecht
Anette Gräfin v. Roedern,"Eichteilstr. 19, 86899 Landsberg am Lech",No LinkedIn link,http://www.lichtenstern.partners/,info@lichtenstern.partners,,Erbrecht •  • Mediation • Unterhaltsrecht
Dölle & Partner,"Brombergstr. 17c, 79102 Freiburg im Breisgau",No LinkedIn link,http://www.ra-doelle.de/,freiburg@ra-doelle.de,Christoph Buck; Christian Lichy; Barbara Herr; Mirjam Demel; Mirko Gerke,Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Sozialrecht • Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Baurecht & Architektenrecht • Kaufrecht • Schadensersatzrecht & Schmerzensgeldrecht • Grundstücksrecht & Immobilienrecht • Allgemeines Vertragsrecht • Erbrecht • Betreuungsrecht • IT-Recht • Ordnungswidrigkeitenrecht • Urheberrecht & Medienrecht • Unternehmensrecht & Betriebsnachfolge • Strafrecht • Reiserecht • Forderungseinzug & Inkassorecht • Markenrecht
Kanzlei DSSD,"Landauer Str. 66, 67433 Neustadt an der Weinstraße",No LinkedIn link,http://www.kanzlei-dssd.de/,kontakt@kanzlei-dssd.de,Matthias Schwab; Anke H. Schumann; Herbert J. Doll,• Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verwaltungsrecht • Fachanwaltschaft Baurecht & Architektenrecht • Mietrecht & Wohnungseigentumsrecht • Wirtschaftsrecht • Beamtenrecht • Grundstücksrecht & Immobilienrecht • Zivilrecht • Allgemeines Vertragsrecht • Werkvertragsrecht • Wettbewerbsrecht • Ausländerrecht & Asylrecht • Erbrecht
Rechtsanwaltskanzlei Wulf & Collegen,"Breite Str. 53-54, 39576 Hansestadt Stendal",No LinkedIn link,http://www.kanzlei-wulf.de/,info@kanzlei-wulf.de,Lars Hänig; Jan Steinmetz; Fachanwalt für Arbeitsrecht Sandro Wulf; Hendrik Lippmann; Maximilian Scholze,Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht •  • Strafrecht • Mediation • Zivilrecht • Unternehmensrecht & Betriebsnachfolge • Baurecht & Architektenrecht • Allgemeines Vertragsrecht • Verkehrsrecht • Grundstücksrecht & Immobilienrecht • Ordnungswidrigkeitenrecht • Erbrecht • Wettbewerbsrecht • eBay & Recht • Handelsrecht & Gesellschaftsrecht • Markenrecht • IT-Recht
Kanzlei JMH,"Bahnhofstrasse 41, 65185 Wiesbaden",No LinkedIn link,https://www.kanzlei-jmh.de/,info@kanzlei-jmh.de,Jessica Müller-Horaczek; Elen Gergert; Pinar Lukac,• Fachanwaltschaft Strafrecht • Allgemeines Vertragsrecht • Schadensersatzrecht & Schmerzensgeldrecht • Reiserecht • Mietrecht & Wohnungseigentumsrecht • Arbeitsrecht • Erbrecht • Opferhilfe • Unterhaltsrecht • Ordnungswidrigkeitenrecht • eBay & Recht • Forderungseinzug & Inkassorecht • Kaufrecht • Verkehrsrecht
Kanzlei Königstraße,"Königstr. 64, 70173 Stuttgart",https://www.linkedin.com/company/kanzlei-k-nigstra-e---rechtsanw-lte-k-ster-und-kollegen,http://www.kanzlei-koenigstrasse.de/,s.koester@kanzlei-koenigstrasse.de,Tobias Bastian; Marlene Giray-Scheel; Kerstin Herr; Steffen Köster,• Fachanwaltschaft Erbrecht • Beamtenrecht • Verwaltungsrecht • Versicherungsrecht • Unternehmensrecht & Betriebsnachfolge • Handelsrecht & Gesellschaftsrecht • Wirtschaftsrecht • Zivilprozessrecht • Mediation • Unterhaltsrecht • Allgemeines Vertragsrecht • Grundstücksrecht & Immobilienrecht
LEGALIS. Anwälte,"Alter Postplatz 15, 88400 Biberach an der Riß",No LinkedIn link,http://www.legalis-kanzlei.de/,info@legalis-kanzlei.de,Samuel Fischer; Jakob Ramsauer; Luca Weishaupt; Tatjana Ramsperger; Joachim Marcel Stehle,Fachanwaltschaft Strafrecht •  • Fachanwaltschaft Versicherungsrecht • Fachanwaltschaft Erbrecht • Zivilrecht • Medizinrecht • Allgemeines Vertragsrecht • Arbeitsrecht • Opferhilfe • Schadensersatzrecht & Schmerzensgeldrecht • Handelsrecht & Gesellschaftsrecht • Unterhaltsrecht • Unternehmensrecht & Betriebsnachfolge
GKS Rechtsanwälte,"Morianstr. 3, 42103 Wuppertal",No LinkedIn link,https://gks-rechtsanwaelte.de/,info@gks-rechtsanwaelte.de,Meret Bischoff; Anna-Sophie Böttcher; Andreas Jäger; Daniel Junker; Charleen Pfohl,Fachanwaltschaft Strafrecht • Fachanwaltschaft Erbrecht •  • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Verkehrsrecht • Zivilrecht • Mietrecht & Wohnungseigentumsrecht • Sozialrecht • Mediation • Recht rund ums Tier • Pferderecht • Unterhaltsrecht • Allgemeines Vertragsrecht • Grundstücksrecht & Immobilienrecht • Kaufrecht
DJS&G Fachanwälte,"Kölner Straße 2, 50226 Frechen",No LinkedIn link,https://djsug.de/,granitzka@djsug.de,Klaus Hindelang FA Strafrecht; Ulrich Granitzka; Nicole Kania,Fachanwaltschaft Strafrecht • Fachanwaltschaft Arbeitsrecht • Fachanwaltschaft Medizinrecht • Fachanwaltschaft Erbrecht •  • Ordnungswidrigkeitenrecht • Arzthaftungsrecht • Verkehrsrecht • Zivilrecht • Forderungseinzug & Inkassorecht
"Rechtsanwälte Ceelen, Dr. Hutter, Stalter, Pfaudler, Dr. Veh PartGmbB","Königsgraben 17, 87700 Memmingen",No LinkedIn link,https://www.mm-anwaelte.de/,info@mm-anwaelte.de,Christian Stalter; Thomas Pfaudler; Dr. Roland Veh,Fachanwaltschaft Verkehrsrecht • Fachanwaltschaft Insolvenzrecht & Sanierungsrecht • Fachanwaltschaft Arbeitsrecht •  • Fachanwaltschaft Erbrecht • Fachanwaltschaft Mietrecht & Wohnungseigentumsrecht • Zivilrecht • Kaufrecht • Unterhaltsrecht • Allgemeines Vertragsrecht • Bankrecht & Kapitalmarktrecht • Versicherungsrecht • Schadensersatzrecht & Schmerzensgeldrecht
Etinger & Cazan Rechtsanwälte,"Prymstraße 1, 97070 Würzburg",No LinkedIn link,https://etinger-cazan.de/,info@etinger-cazan.de,Eva Benz; Sergej Etinger; Philipp Hofmann; Christian Cazan; Tatiana Slivina,• Fachanwaltschaft Strafrecht • Verkehrsrecht • Zivilrecht • Mietrecht & Wohnungseigentumsrecht • Erbrecht • Arbeitsrecht • Sozialrecht • Betreuungsrecht • Gewerblicher Rechtsschutz • Schadensersatzrecht & Schmerzensgeldrecht • Forderungseinzug & Inkassorecht • Allgemeines Vertragsrecht
